Minimum cut between characters:
eda -> ssha = 8
eda -> son = 8
eda -> non-fiction = 10
eda -> russkii-iazyk = 8
eda -> vselennaia = 5
eda -> debaty = 11
eda -> evropa = 7
eda -> liudi = 8
eda -> gender = 5
eda -> feminizm = 6
eda -> serialy = 8
eda -> urbanistika = 6
eda -> semia = 4
eda -> soznanie = 5
eda -> vysshee-obrazovanie = 6
eda -> daish = 5
eda -> astronomiia = 3
eda -> angliiskii-iazyk = 5
eda -> poeziia = 4
sotsiologiia -> iskusstvo = 34
sotsiologiia -> nauka = 22
sotsiologiia -> kino = 28
sotsiologiia -> fizika = 23
sotsiologiia -> puteshestviia = 31
sotsiologiia -> biznes = 29
sotsiologiia -> muzyka = 24
sotsiologiia -> voina = 22
sotsiologiia -> moskva = 26
sotsiologiia -> zhivotnye = 18
sotsiologiia -> krasota = 23
sotsiologiia -> kosmos = 19
sotsiologiia -> geografiia = 25
sotsiologiia -> sport = 15
sotsiologiia -> transport = 14
sotsiologiia -> khimiia = 14
sotsiologiia -> zhizn = 19
sotsiologiia -> finansy = 13
sotsiologiia -> chto-pochitat = 11
sotsiologiia -> alkogol = 15
sotsiologiia -> aviatsiia = 18
sotsiologiia -> avto = 13
sotsiologiia -> dizain = 12
sotsiologiia -> fiziologiia = 9
sotsiologiia -> blizhnii-vostok = 9
sotsiologiia -> dengi = 9
sotsiologiia -> knigi = 9
sotsiologiia -> rabota = 10
sotsiologiia -> khristianstvo = 8
sotsiologiia -> muzhchiny-i-zhenshchiny = 8
sotsiologiia -> klassnaia-istoriia = 12
sotsiologiia -> kriminal = 10
sotsiologiia -> arkhitektura = 13
sotsiologiia -> liubov = 5
sotsiologiia -> sssr = 9
sotsiologiia -> diplomatiia = 9
sotsiologiia -> islam = 8
sotsiologiia -> ssha = 8
sotsiologiia -> son = 8
sotsiologiia -> non-fiction = 10
sotsiologiia -> russkii-iazyk = 8
sotsiologiia -> vselennaia = 5
sotsiologiia -> kafe-i-restorany = 10
sotsiologiia -> rynok = 7
sotsiologiia -> ekologiia = 12
sotsiologiia -> evropa = 7
sotsiologiia -> liudi = 8
sotsiologiia -> gender = 5
sotsiologiia -> serialy = 8
sotsiologiia -> urbanistika = 6
sotsiologiia -> semia = 4
sotsiologiia -> soznanie = 5
sotsiologiia -> vysshee-obrazovanie = 6
sotsiologiia -> daish = 5
sotsiologiia -> astronomiia = 3
sotsiologiia -> angliiskii-iazyk = 5
sotsiologiia -> poeziia = 4
iskusstvo -> telo = 33
iskusstvo -> chto-budet-esli = 34
iskusstvo -> nauka = 22
iskusstvo -> religiia = 27
iskusstvo -> fizika = 23
iskusstvo -> ekonomika = 27
iskusstvo -> pravo = 34
iskusstvo -> seks = 26
iskusstvo -> antropologiia = 26
iskusstvo -> chelovek = 19
iskusstvo -> voina = 22
iskusstvo -> zhivotnye = 18
iskusstvo -> teoriia-nauki = 18
iskusstvo -> deti = 23
iskusstvo -> otnosheniia = 16
iskusstvo -> kosmos = 19
iskusstvo -> geografiia = 25
iskusstvo -> sport = 15
iskusstvo -> transport = 14
iskusstvo -> khimiia = 14
iskusstvo -> zhizn = 19
iskusstvo -> finansy = 13
iskusstvo -> alkogol = 15
iskusstvo -> aviatsiia = 18
iskusstvo -> temy-net = 23
iskusstvo -> avto = 13
iskusstvo -> fiziologiia = 9
iskusstvo -> blizhnii-vostok = 9
iskusstvo -> dengi = 9
iskusstvo -> diskriminatsiia = 10
iskusstvo -> rabota = 10
iskusstvo -> khristianstvo = 8
iskusstvo -> muzhchiny-i-zhenshchiny = 8
iskusstvo -> kriminal = 10
iskusstvo -> etiket = 17
iskusstvo -> liubov = 5
iskusstvo -> diplomatiia = 9
iskusstvo -> islam = 8
iskusstvo -> ssha = 8
iskusstvo -> son = 8
iskusstvo -> russkii-iazyk = 8
iskusstvo -> vselennaia = 5
iskusstvo -> kafe-i-restorany = 10
iskusstvo -> rynok = 7
iskusstvo -> debaty = 11
iskusstvo -> ekologiia = 12
iskusstvo -> evropa = 7
iskusstvo -> liudi = 8
iskusstvo -> gender = 5
iskusstvo -> feminizm = 6
iskusstvo -> urbanistika = 6
iskusstvo -> semia = 4
iskusstvo -> soznanie = 5
iskusstvo -> vysshee-obrazovanie = 6
iskusstvo -> daish = 5
iskusstvo -> astronomiia = 3
iskusstvo -> angliiskii-iazyk = 5
telo -> nauka = 22
telo -> religiia = 27
telo -> kino = 28
telo -> ekonomika = 27
telo -> pravo = 33
telo -> puteshestviia = 31
telo -> iazyk = 25
telo -> biznes = 29
telo -> karera = 32
telo -> voina = 22
telo -> moskva = 26
telo -> media = 21
telo -> zhivotnye = 18
telo -> teoriia-nauki = 18
telo -> kosmos = 19
telo -> geografiia = 25
telo -> obshchestvo = 19
telo -> transport = 14
telo -> zhizn = 19
telo -> finansy = 13
telo -> chto-pochitat = 11
telo -> aviatsiia = 18
telo -> avto = 13
telo -> dizain = 12
telo -> blizhnii-vostok = 9
telo -> dengi = 9
telo -> knigi = 9
telo -> diskriminatsiia = 10
telo -> rabota = 10
telo -> khristianstvo = 8
telo -> muzhchiny-i-zhenshchiny = 8
telo -> klassnaia-istoriia = 12
telo -> kriminal = 10
telo -> arkhitektura = 13
telo -> liubov = 5
telo -> sssr = 9
telo -> diplomatiia = 9
telo -> islam = 8
telo -> ssha = 8
telo -> non-fiction = 10
telo -> russkii-iazyk = 8
telo -> vselennaia = 5
telo -> kafe-i-restorany = 10
telo -> rynok = 7
telo -> debaty = 11
telo -> ekologiia = 12
telo -> evropa = 7
telo -> liudi = 8
telo -> gender = 5
telo -> feminizm = 6
telo -> serialy = 8
telo -> urbanistika = 6
telo -> semia = 4
telo -> soznanie = 5
telo -> vysshee-obrazovanie = 6
telo -> daish = 5
telo -> astronomiia = 3
telo -> angliiskii-iazyk = 5
telo -> poeziia = 4
chto-budet-esli -> nauka = 22
chto-budet-esli -> kino = 28
chto-budet-esli -> iazyk = 25
chto-budet-esli -> biznes = 29
chto-budet-esli -> muzyka = 24
chto-budet-esli -> chelovek = 19
chto-budet-esli -> karera = 32
chto-budet-esli -> media = 21
chto-budet-esli -> krasota = 23
chto-budet-esli -> deti = 23
chto-budet-esli -> otnosheniia = 16
chto-budet-esli -> obshchestvo = 19
chto-budet-esli -> moda = 19
chto-budet-esli -> sport = 15
chto-budet-esli -> transport = 14
chto-budet-esli -> khimiia = 14
chto-budet-esli -> zhizn = 19
chto-budet-esli -> finansy = 13
chto-budet-esli -> chto-pochitat = 11
chto-budet-esli -> temy-net = 23
chto-budet-esli -> avto = 13
chto-budet-esli -> dizain = 12
chto-budet-esli -> fiziologiia = 9
chto-budet-esli -> blizhnii-vostok = 9
chto-budet-esli -> dengi = 9
chto-budet-esli -> knigi = 9
chto-budet-esli -> diskriminatsiia = 10
chto-budet-esli -> rabota = 10
chto-budet-esli -> khristianstvo = 8
chto-budet-esli -> muzhchiny-i-zhenshchiny = 8
chto-budet-esli -> kriminal = 10
chto-budet-esli -> etiket = 17
chto-budet-esli -> arkhitektura = 13
chto-budet-esli -> liubov = 5
chto-budet-esli -> sssr = 9
chto-budet-esli -> diplomatiia = 9
chto-budet-esli -> islam = 8
chto-budet-esli -> ssha = 8
chto-budet-esli -> son = 8
chto-budet-esli -> non-fiction = 10
chto-budet-esli -> russkii-iazyk = 8
chto-budet-esli -> vselennaia = 5
chto-budet-esli -> kafe-i-restorany = 10
chto-budet-esli -> rynok = 7
chto-budet-esli -> debaty = 11
chto-budet-esli -> evropa = 7
chto-budet-esli -> liudi = 8
chto-budet-esli -> gender = 5
chto-budet-esli -> feminizm = 6
chto-budet-esli -> serialy = 8
chto-budet-esli -> urbanistika = 6
chto-budet-esli -> semia = 4
chto-budet-esli -> soznanie = 5
chto-budet-esli -> vysshee-obrazovanie = 6
chto-budet-esli -> daish = 5
chto-budet-esli -> astronomiia = 3
chto-budet-esli -> angliiskii-iazyk = 5
chto-budet-esli -> poeziia = 4
detskii-vopros -> nauka = 22
detskii-vopros -> ekonomika = 27
detskii-vopros -> puteshestviia = 31
detskii-vopros -> seks = 26
detskii-vopros -> biznes = 29
detskii-vopros -> muzyka = 24
detskii-vopros -> karera = 32
detskii-vopros -> voina = 22
detskii-vopros -> media = 21
detskii-vopros -> krasota = 23
detskii-vopros -> teoriia-nauki = 18
detskii-vopros -> otnosheniia = 16
detskii-vopros -> obshchestvo = 19
detskii-vopros -> moda = 19
detskii-vopros -> sport = 15
detskii-vopros -> khimiia = 14
detskii-vopros -> zhizn = 19
detskii-vopros -> finansy = 13
detskii-vopros -> chto-pochitat = 11
detskii-vopros -> alkogol = 15
detskii-vopros -> avto = 13
detskii-vopros -> dizain = 12
detskii-vopros -> fiziologiia = 9
detskii-vopros -> blizhnii-vostok = 9
detskii-vopros -> dengi = 9
detskii-vopros -> knigi = 9
detskii-vopros -> diskriminatsiia = 10
detskii-vopros -> rabota = 10
detskii-vopros -> khristianstvo = 8
detskii-vopros -> muzhchiny-i-zhenshchiny = 8
detskii-vopros -> kriminal = 10
detskii-vopros -> etiket = 17
detskii-vopros -> arkhitektura = 13
detskii-vopros -> liubov = 5
detskii-vopros -> sssr = 9
detskii-vopros -> diplomatiia = 9
detskii-vopros -> islam = 8
detskii-vopros -> ssha = 8
detskii-vopros -> son = 8
detskii-vopros -> non-fiction = 10
detskii-vopros -> russkii-iazyk = 8
detskii-vopros -> vselennaia = 5
detskii-vopros -> kafe-i-restorany = 10
detskii-vopros -> rynok = 7
detskii-vopros -> debaty = 11
detskii-vopros -> ekologiia = 12
detskii-vopros -> evropa = 7
detskii-vopros -> liudi = 8
detskii-vopros -> gender = 5
detskii-vopros -> feminizm = 6
detskii-vopros -> serialy = 8
detskii-vopros -> urbanistika = 6
detskii-vopros -> semia = 4
detskii-vopros -> soznanie = 5
detskii-vopros -> vysshee-obrazovanie = 6
detskii-vopros -> daish = 5
detskii-vopros -> astronomiia = 3
detskii-vopros -> angliiskii-iazyk = 5
detskii-vopros -> poeziia = 4
nauka -> kino = 22
nauka -> pravo = 22
nauka -> puteshestviia = 22
nauka -> iazyk = 22
nauka -> seks = 22
nauka -> biznes = 22
nauka -> mify = 22
nauka -> muzyka = 22
nauka -> karera = 22
nauka -> voina = 22
nauka -> moskva = 22
nauka -> media = 21
nauka -> zhivotnye = 18
nauka -> krasota = 22
nauka -> deti = 22
nauka -> otnosheniia = 16
nauka -> geografiia = 22
nauka -> obshchestvo = 19
nauka -> moda = 19
nauka -> sport = 15
nauka -> transport = 14
nauka -> zhizn = 19
nauka -> finansy = 13
nauka -> chto-pochitat = 11
nauka -> alkogol = 15
nauka -> aviatsiia = 18
nauka -> temy-net = 22
nauka -> avto = 13
nauka -> dizain = 12
nauka -> blizhnii-vostok = 9
nauka -> dengi = 9
nauka -> knigi = 9
nauka -> diskriminatsiia = 10
nauka -> rabota = 10
nauka -> khristianstvo = 8
nauka -> muzhchiny-i-zhenshchiny = 8
nauka -> klassnaia-istoriia = 12
nauka -> kriminal = 10
nauka -> etiket = 17
nauka -> arkhitektura = 13
nauka -> liubov = 5
nauka -> sssr = 9
nauka -> diplomatiia = 9
nauka -> islam = 8
nauka -> ssha = 8
nauka -> son = 8
nauka -> non-fiction = 10
nauka -> russkii-iazyk = 8
nauka -> kafe-i-restorany = 10
nauka -> rynok = 7
nauka -> debaty = 11
nauka -> ekologiia = 12
nauka -> evropa = 7
nauka -> liudi = 8
nauka -> gender = 5
nauka -> feminizm = 6
nauka -> serialy = 8
nauka -> urbanistika = 6
nauka -> semia = 4
nauka -> vysshee-obrazovanie = 6
nauka -> daish = 5
nauka -> angliiskii-iazyk = 5
nauka -> poeziia = 4
religiia -> kino = 27
religiia -> fizika = 23
religiia -> ekonomika = 27
religiia -> puteshestviia = 27
religiia -> iazyk = 25
religiia -> biznes = 27
religiia -> muzyka = 24
religiia -> karera = 27
religiia -> moskva = 26
religiia -> media = 21
religiia -> zhivotnye = 18
religiia -> krasota = 23
religiia -> deti = 23
religiia -> otnosheniia = 16
religiia -> geografiia = 25
religiia -> moda = 19
religiia -> sport = 15
religiia -> transport = 14
religiia -> khimiia = 14
religiia -> zhizn = 19
religiia -> finansy = 13
religiia -> chto-pochitat = 11
religiia -> alkogol = 15
religiia -> aviatsiia = 18
religiia -> temy-net = 23
religiia -> avto = 13
religiia -> dizain = 12
religiia -> fiziologiia = 9
religiia -> dengi = 9
religiia -> knigi = 9
religiia -> diskriminatsiia = 10
religiia -> rabota = 10
religiia -> muzhchiny-i-zhenshchiny = 8
religiia -> klassnaia-istoriia = 12
religiia -> kriminal = 10
religiia -> etiket = 17
religiia -> arkhitektura = 13
religiia -> liubov = 5
religiia -> sssr = 9
religiia -> diplomatiia = 9
religiia -> ssha = 8
religiia -> son = 8
religiia -> non-fiction = 10
religiia -> russkii-iazyk = 8
religiia -> vselennaia = 5
religiia -> kafe-i-restorany = 10
religiia -> rynok = 7
religiia -> debaty = 11
religiia -> ekologiia = 12
religiia -> evropa = 7
religiia -> liudi = 8
religiia -> gender = 5
religiia -> feminizm = 6
religiia -> serialy = 8
religiia -> urbanistika = 6
religiia -> semia = 4
religiia -> soznanie = 5
religiia -> vysshee-obrazovanie = 6
religiia -> daish = 5
religiia -> astronomiia = 3
religiia -> angliiskii-iazyk = 5
religiia -> poeziia = 4
kino -> fizika = 23
kino -> ekonomika = 27
kino -> pravo = 28
kino -> antropologiia = 26
kino -> biznes = 28
kino -> mify = 28
kino -> chelovek = 19
kino -> moskva = 26
kino -> krasota = 23
kino -> teoriia-nauki = 18
kino -> otnosheniia = 16
kino -> geografiia = 25
kino -> obshchestvo = 19
kino -> moda = 19
kino -> sport = 15
kino -> transport = 14
kino -> khimiia = 14
kino -> zhizn = 19
kino -> finansy = 13
kino -> chto-pochitat = 11
kino -> alkogol = 15
kino -> aviatsiia = 18
kino -> temy-net = 23
kino -> avto = 13
kino -> dizain = 12
kino -> fiziologiia = 9
kino -> blizhnii-vostok = 9
kino -> dengi = 9
kino -> diskriminatsiia = 10
kino -> rabota = 10
kino -> khristianstvo = 8
kino -> muzhchiny-i-zhenshchiny = 8
kino -> kriminal = 10
kino -> etiket = 17
kino -> arkhitektura = 13
kino -> liubov = 5
kino -> sssr = 9
kino -> diplomatiia = 9
kino -> islam = 8
kino -> ssha = 8
kino -> son = 8
kino -> non-fiction = 10
kino -> russkii-iazyk = 8
kino -> vselennaia = 5
kino -> kafe-i-restorany = 10
kino -> rynok = 7
kino -> debaty = 11
kino -> ekologiia = 12
kino -> evropa = 7
kino -> liudi = 8
kino -> gender = 5
kino -> feminizm = 6
kino -> urbanistika = 6
kino -> semia = 4
kino -> soznanie = 5
kino -> vysshee-obrazovanie = 6
kino -> daish = 5
kino -> astronomiia = 3
kino -> angliiskii-iazyk = 5
kino -> poeziia = 4
fizika -> ekonomika = 23
fizika -> pravo = 23
fizika -> puteshestviia = 23
fizika -> iazyk = 23
fizika -> seks = 23
fizika -> antropologiia = 23
fizika -> biznes = 23
fizika -> muzyka = 23
fizika -> chelovek = 19
fizika -> karera = 23
fizika -> voina = 22
fizika -> moskva = 23
fizika -> media = 21
fizika -> zhivotnye = 18
fizika -> krasota = 23
fizika -> deti = 23
fizika -> otnosheniia = 16
fizika -> obshchestvo = 19
fizika -> moda = 19
fizika -> sport = 15
fizika -> transport = 14
fizika -> zhizn = 19
fizika -> finansy = 13
fizika -> chto-pochitat = 11
fizika -> alkogol = 15
fizika -> temy-net = 23
fizika -> avto = 13
fizika -> dizain = 12
fizika -> fiziologiia = 9
fizika -> blizhnii-vostok = 9
fizika -> dengi = 9
fizika -> knigi = 9
fizika -> diskriminatsiia = 10
fizika -> rabota = 10
fizika -> khristianstvo = 8
fizika -> muzhchiny-i-zhenshchiny = 8
fizika -> klassnaia-istoriia = 12
fizika -> kriminal = 10
fizika -> etiket = 17
fizika -> arkhitektura = 13
fizika -> liubov = 5
fizika -> sssr = 9
fizika -> diplomatiia = 9
fizika -> islam = 8
fizika -> ssha = 8
fizika -> son = 8
fizika -> non-fiction = 10
fizika -> russkii-iazyk = 8
fizika -> kafe-i-restorany = 10
fizika -> rynok = 7
fizika -> debaty = 11
fizika -> ekologiia = 12
fizika -> evropa = 7
fizika -> liudi = 8
fizika -> gender = 5
fizika -> feminizm = 6
fizika -> serialy = 8
fizika -> urbanistika = 6
fizika -> semia = 4
fizika -> soznanie = 5
fizika -> vysshee-obrazovanie = 6
fizika -> daish = 5
fizika -> angliiskii-iazyk = 5
fizika -> poeziia = 4
ekonomika -> iazyk = 25
ekonomika -> seks = 26
ekonomika -> antropologiia = 26
ekonomika -> mify = 27
ekonomika -> muzyka = 24
ekonomika -> chelovek = 19
ekonomika -> moskva = 26
ekonomika -> media = 21
ekonomika -> zhivotnye = 18
ekonomika -> krasota = 23
ekonomika -> teoriia-nauki = 18
ekonomika -> deti = 23
ekonomika -> otnosheniia = 16
ekonomika -> kosmos = 19
ekonomika -> moda = 19
ekonomika -> sport = 15
ekonomika -> transport = 14
ekonomika -> khimiia = 14
ekonomika -> zhizn = 19
ekonomika -> chto-pochitat = 11
ekonomika -> alkogol = 15
ekonomika -> aviatsiia = 18
ekonomika -> temy-net = 23
ekonomika -> avto = 13
ekonomika -> dizain = 12
ekonomika -> fiziologiia = 9
ekonomika -> blizhnii-vostok = 9
ekonomika -> knigi = 9
ekonomika -> diskriminatsiia = 10
ekonomika -> rabota = 10
ekonomika -> khristianstvo = 8
ekonomika -> muzhchiny-i-zhenshchiny = 8
ekonomika -> klassnaia-istoriia = 12
ekonomika -> kriminal = 10
ekonomika -> etiket = 17
ekonomika -> arkhitektura = 13
ekonomika -> liubov = 5
ekonomika -> diplomatiia = 9
ekonomika -> islam = 8
ekonomika -> son = 8
ekonomika -> russkii-iazyk = 8
ekonomika -> vselennaia = 5
ekonomika -> kafe-i-restorany = 10
ekonomika -> debaty = 11
ekonomika -> ekologiia = 12
ekonomika -> evropa = 7
ekonomika -> liudi = 8
ekonomika -> gender = 5
ekonomika -> feminizm = 6
ekonomika -> serialy = 8
ekonomika -> urbanistika = 6
ekonomika -> semia = 4
ekonomika -> soznanie = 5
ekonomika -> vysshee-obrazovanie = 6
ekonomika -> daish = 5
ekonomika -> astronomiia = 3
ekonomika -> angliiskii-iazyk = 5
ekonomika -> poeziia = 4
pravo -> iazyk = 25
pravo -> antropologiia = 26
pravo -> mify = 34
pravo -> muzyka = 24
pravo -> chelovek = 19
pravo -> zhivotnye = 18
pravo -> krasota = 23
pravo -> teoriia-nauki = 18
pravo -> otnosheniia = 16
pravo -> kosmos = 19
pravo -> geografiia = 25
pravo -> obshchestvo = 19
pravo -> moda = 19
pravo -> sport = 15
pravo -> khimiia = 14
pravo -> zhizn = 19
pravo -> chto-pochitat = 11
pravo -> alkogol = 15
pravo -> temy-net = 23
pravo -> dizain = 12
pravo -> fiziologiia = 9
pravo -> blizhnii-vostok = 9
pravo -> dengi = 9
pravo -> knigi = 9
pravo -> rabota = 10
pravo -> khristianstvo = 8
pravo -> muzhchiny-i-zhenshchiny = 8
pravo -> klassnaia-istoriia = 12
pravo -> etiket = 17
pravo -> arkhitektura = 13
pravo -> liubov = 5
pravo -> sssr = 9
pravo -> islam = 8
pravo -> son = 8
pravo -> non-fiction = 10
pravo -> russkii-iazyk = 8
pravo -> vselennaia = 5
pravo -> kafe-i-restorany = 10
pravo -> rynok = 7
pravo -> ekologiia = 12
pravo -> evropa = 7
pravo -> liudi = 8
pravo -> gender = 5
pravo -> feminizm = 6
pravo -> serialy = 8
pravo -> urbanistika = 6
pravo -> semia = 4
pravo -> soznanie = 5
pravo -> vysshee-obrazovanie = 6
pravo -> daish = 5
pravo -> astronomiia = 3
pravo -> angliiskii-iazyk = 5
pravo -> poeziia = 4
puteshestviia -> seks = 26
puteshestviia -> antropologiia = 26
puteshestviia -> biznes = 29
puteshestviia -> mify = 31
puteshestviia -> muzyka = 24
puteshestviia -> chelovek = 19
puteshestviia -> voina = 23
puteshestviia -> media = 21
puteshestviia -> krasota = 23
puteshestviia -> teoriia-nauki = 18
puteshestviia -> deti = 23
puteshestviia -> otnosheniia = 16
puteshestviia -> kosmos = 19
puteshestviia -> obshchestvo = 19
puteshestviia -> moda = 19
puteshestviia -> sport = 15
puteshestviia -> khimiia = 14
puteshestviia -> zhizn = 19
puteshestviia -> finansy = 13
puteshestviia -> chto-pochitat = 11
puteshestviia -> alkogol = 15
puteshestviia -> dizain = 12
puteshestviia -> fiziologiia = 9
puteshestviia -> blizhnii-vostok = 9
puteshestviia -> dengi = 9
puteshestviia -> knigi = 9
puteshestviia -> diskriminatsiia = 10
puteshestviia -> rabota = 10
puteshestviia -> khristianstvo = 8
puteshestviia -> muzhchiny-i-zhenshchiny = 8
puteshestviia -> kriminal = 10
puteshestviia -> etiket = 17
puteshestviia -> liubov = 5
puteshestviia -> sssr = 9
puteshestviia -> diplomatiia = 9
puteshestviia -> islam = 8
puteshestviia -> son = 8
puteshestviia -> non-fiction = 10
puteshestviia -> russkii-iazyk = 8
puteshestviia -> vselennaia = 5
puteshestviia -> rynok = 7
puteshestviia -> debaty = 11
puteshestviia -> ekologiia = 12
puteshestviia -> liudi = 8
puteshestviia -> gender = 5
puteshestviia -> feminizm = 6
puteshestviia -> serialy = 8
puteshestviia -> urbanistika = 6
puteshestviia -> semia = 4
puteshestviia -> soznanie = 5
puteshestviia -> vysshee-obrazovanie = 6
puteshestviia -> daish = 5
puteshestviia -> astronomiia = 3
puteshestviia -> angliiskii-iazyk = 5
puteshestviia -> poeziia = 4
iazyk -> seks = 25
iazyk -> biznes = 25
iazyk -> mify = 25
iazyk -> chelovek = 19
iazyk -> voina = 22
iazyk -> moskva = 25
iazyk -> media = 21
iazyk -> zhivotnye = 18
iazyk -> krasota = 23
iazyk -> teoriia-nauki = 18
iazyk -> deti = 23
iazyk -> otnosheniia = 16
iazyk -> kosmos = 19
iazyk -> moda = 19
iazyk -> sport = 15
iazyk -> transport = 14
iazyk -> khimiia = 14
iazyk -> zhizn = 19
iazyk -> finansy = 13
iazyk -> chto-pochitat = 11
iazyk -> alkogol = 15
iazyk -> aviatsiia = 18
iazyk -> temy-net = 23
iazyk -> avto = 13
iazyk -> dizain = 12
iazyk -> fiziologiia = 9
iazyk -> blizhnii-vostok = 9
iazyk -> dengi = 9
iazyk -> knigi = 9
iazyk -> diskriminatsiia = 10
iazyk -> rabota = 10
iazyk -> khristianstvo = 8
iazyk -> muzhchiny-i-zhenshchiny = 8
iazyk -> klassnaia-istoriia = 12
iazyk -> kriminal = 10
iazyk -> arkhitektura = 13
iazyk -> liubov = 5
iazyk -> sssr = 9
iazyk -> diplomatiia = 9
iazyk -> islam = 8
iazyk -> ssha = 8
iazyk -> son = 8
iazyk -> non-fiction = 10
iazyk -> vselennaia = 5
iazyk -> kafe-i-restorany = 10
iazyk -> rynok = 7
iazyk -> debaty = 11
iazyk -> ekologiia = 12
iazyk -> evropa = 7
iazyk -> liudi = 8
iazyk -> gender = 5
iazyk -> feminizm = 6
iazyk -> serialy = 8
iazyk -> urbanistika = 6
iazyk -> semia = 4
iazyk -> soznanie = 5
iazyk -> vysshee-obrazovanie = 6
iazyk -> daish = 5
iazyk -> astronomiia = 3
iazyk -> poeziia = 4
seks -> biznes = 26
seks -> muzyka = 24
seks -> chelovek = 19
seks -> karera = 26
seks -> voina = 22
seks -> moskva = 26
seks -> media = 21
seks -> teoriia-nauki = 18
seks -> kosmos = 19
seks -> geografiia = 25
seks -> moda = 19
seks -> sport = 15
seks -> transport = 14
seks -> khimiia = 14
seks -> zhizn = 19
seks -> finansy = 13
seks -> chto-pochitat = 11
seks -> alkogol = 15
seks -> aviatsiia = 18
seks -> temy-net = 23
seks -> avto = 13
seks -> dizain = 12
seks -> blizhnii-vostok = 9
seks -> dengi = 9
seks -> knigi = 9
seks -> rabota = 10
seks -> khristianstvo = 8
seks -> klassnaia-istoriia = 12
seks -> kriminal = 10
seks -> etiket = 17
seks -> arkhitektura = 13
seks -> sssr = 9
seks -> diplomatiia = 9
seks -> islam = 8
seks -> ssha = 8
seks -> son = 8
seks -> non-fiction = 10
seks -> russkii-iazyk = 8
seks -> vselennaia = 5
seks -> kafe-i-restorany = 10
seks -> rynok = 7
seks -> debaty = 11
seks -> ekologiia = 12
seks -> evropa = 7
seks -> liudi = 8
seks -> feminizm = 6
seks -> serialy = 8
seks -> urbanistika = 6
seks -> soznanie = 5
seks -> vysshee-obrazovanie = 6
seks -> daish = 5
seks -> astronomiia = 3
seks -> angliiskii-iazyk = 5
seks -> poeziia = 4
antropologiia -> biznes = 26
antropologiia -> muzyka = 24
antropologiia -> karera = 26
antropologiia -> voina = 22
antropologiia -> moskva = 26
antropologiia -> media = 21
antropologiia -> zhivotnye = 18
antropologiia -> teoriia-nauki = 18
antropologiia -> otnosheniia = 16
antropologiia -> kosmos = 19
antropologiia -> obshchestvo = 19
antropologiia -> moda = 19
antropologiia -> sport = 15
antropologiia -> transport = 14
antropologiia -> khimiia = 14
antropologiia -> zhizn = 19
antropologiia -> finansy = 13
antropologiia -> chto-pochitat = 11
antropologiia -> alkogol = 15
antropologiia -> aviatsiia = 18
antropologiia -> temy-net = 23
antropologiia -> avto = 13
antropologiia -> dizain = 12
antropologiia -> fiziologiia = 9
antropologiia -> blizhnii-vostok = 9
antropologiia -> dengi = 9
antropologiia -> knigi = 9
antropologiia -> diskriminatsiia = 10
antropologiia -> rabota = 10
antropologiia -> khristianstvo = 8
antropologiia -> muzhchiny-i-zhenshchiny = 8
antropologiia -> klassnaia-istoriia = 12
antropologiia -> kriminal = 10
antropologiia -> etiket = 17
antropologiia -> arkhitektura = 13
antropologiia -> liubov = 5
antropologiia -> sssr = 9
antropologiia -> diplomatiia = 9
antropologiia -> islam = 8
antropologiia -> ssha = 8
antropologiia -> son = 8
antropologiia -> non-fiction = 10
antropologiia -> russkii-iazyk = 8
antropologiia -> vselennaia = 5
antropologiia -> kafe-i-restorany = 10
antropologiia -> rynok = 7
antropologiia -> debaty = 11
antropologiia -> ekologiia = 12
antropologiia -> evropa = 7
antropologiia -> liudi = 8
antropologiia -> gender = 5
antropologiia -> feminizm = 6
antropologiia -> serialy = 8
antropologiia -> urbanistika = 6
antropologiia -> semia = 4
antropologiia -> soznanie = 5
antropologiia -> vysshee-obrazovanie = 6
antropologiia -> daish = 5
antropologiia -> astronomiia = 3
antropologiia -> angliiskii-iazyk = 5
antropologiia -> poeziia = 4
biznes -> mify = 29
biznes -> chelovek = 19
biznes -> voina = 22
biznes -> moskva = 26
biznes -> zhivotnye = 18
biznes -> krasota = 23
biznes -> teoriia-nauki = 18
biznes -> deti = 23
biznes -> otnosheniia = 16
biznes -> kosmos = 19
biznes -> geografiia = 25
biznes -> obshchestvo = 19
biznes -> khimiia = 14
biznes -> zhizn = 19
biznes -> chto-pochitat = 11
biznes -> alkogol = 15
biznes -> fiziologiia = 9
biznes -> blizhnii-vostok = 9
biznes -> knigi = 9
biznes -> diskriminatsiia = 10
biznes -> khristianstvo = 8
biznes -> muzhchiny-i-zhenshchiny = 8
biznes -> klassnaia-istoriia = 12
biznes -> etiket = 17
biznes -> arkhitektura = 13
biznes -> liubov = 5
biznes -> sssr = 9
biznes -> diplomatiia = 9
biznes -> islam = 8
biznes -> ssha = 8
biznes -> son = 8
biznes -> non-fiction = 10
biznes -> russkii-iazyk = 8
biznes -> vselennaia = 5
biznes -> debaty = 11
biznes -> ekologiia = 12
biznes -> evropa = 7
biznes -> liudi = 8
biznes -> gender = 5
biznes -> feminizm = 6
biznes -> serialy = 8
biznes -> urbanistika = 6
biznes -> semia = 4
biznes -> soznanie = 5
biznes -> vysshee-obrazovanie = 6
biznes -> daish = 5
biznes -> astronomiia = 3
biznes -> angliiskii-iazyk = 5
biznes -> poeziia = 4
